DateReported,Time,Location,lat,lng
4/25/2023,10:31,601 La Rue Rd,38.534292,-121.7579333
4/25/2023,13:19,200 California Ave,38.5415708,-121.7519507
4/25/2023,15:28,1600 Solano Park Cir,38.5389034,-121.7429222
4/25/2023,16:47,200 E Quad,38.5423436,-121.7480661
4/25/2023,7:14,2315 Stockton Blvd,38.5449065,-121.7405167
4/25/2023,Unkn,550 W Ranch View Dr,38.8379087,-121.2985505
4/25/2023,13:14,5335 Price Ave,36.778261,-119.4179324
4/25/2023,20:17,2315 Stockton Blvd,38.5449065,-121.7405167
4/29/2023,1:50,298 Citron,38.542993,-121.776019
4/29/2023,18:04,3000 Levee Rd,38.5237013,-121.7849056
4/29/2023,1:27,2315 Stockton Blvd,38.5449065,-121.7405167
4/29/2023,1:29,4251 X St,36.778261,-119.4179324
4/29/2023,7:49,2315 Stockton Blvd,38.5449065,-121.7405167
4/16/2023,10:49,1029 La Rue Rd,38.544561,-121.7588021
4/16/2023,15:34,2315 Stockton Blvd,38.5449065,-121.7405167
4/16/2023,18:57,2315 Stockton Blvd,38.5449065,-121.7405167
4/16/2023,22:04,2315 Stockton Blvd,38.5449065,-121.7405167
4/30/2023,9:44,146 Orchard Park Dr,38.5408806,-121.7634311
4/30/2023,13:36,Levee Rd/Old Davis Rd,38.518241,-121.7570184
4/30/2023,19:03,852 La Rue Rd,38.5342935,-121.7580376
4/30/2023,12:33,4150 V St,36.778261,-119.4179324
4/30/2023,13:19,2315 Stockton Blvd,38.5449065,-121.7405167
4/20/2023,13:11,400 Howard Way,38.543907,-121.7501631
4/20/2023,13:21,100 West Quad Bikeway,38.5415155,-121.75043
4/20/2023,21:42,XXX Kleiber Hall Dr,38.540997,-121.7554427
4/20/2023,13:00,4860 Y St,36.778261,-119.4179324
4/20/2023,13:33,2315 Stockton Blvd,38.5449065,-121.7405167
4/28/2023,0:01,1st St/C St,36.778261,-119.4179324
4/28/2023,0:14,2795 2nd St,36.778261,-119.4179324
4/28/2023,13:26,CASE NUMBER PULLED IN ERROR,38.5449065,-121.7405167
